Place,Region,Confirmed,Deaths,Recovered,Active,Last Update
Ohio,USA,870,15,0,855,2020-03-27 03:00:00 * CTY: Cuyahoga 259; Franklin 109; Hamilton 53; Mahoning 51; Summit 50; Lorain 44; Lucas 35; Medina 24; Butler 21; Miami 20; Lake 19; Stark 16; Delaware 15; Montgomery 14; Trumbull 12; Warren 10; Portage 8; Geauga 7; Clermont 6; Wood 6; Fairfield 6; Licking 5; Columbiana 5; Marion 4; Coshocton 4; Richland 4; Greene 3; Ashtabula 3; Belmont 3; Tuscarawas 3; Carroll 3; Madison 3; Huron 3; Union 3; Erie 3; Knox 2; Pickaway 2; Fulton 2; Clark 2; Wayne 2; Clinton 2; Logan 2; Champaign 2; Hancock 2; Defiance 2; Wyandot 1; Fayette 1; Jefferson 1; Athens 1; Darke 1; Highland 1; Gallia 1; Crawford 1; Sandusky 1; Washington 1; Lawrence 1; Seneca 1; Ashland 1; Mercer 1; Muskingum 1; Shelby 1
Russia,Russia,840,3,38,799,3/26/20 16:00
Iceland,Iceland,802,2,68,732,3/26/20 16:00
Shandong,Mainland China,771,7,752,12,3/26/20 8:00
North Carolina,USA,755,3,0,752,2020-03-27 03:00:00 * CTY: Mecklenburg 204; Wake 105; Durham 93; Union 27; Guilford 24; Cabarrus 22; Forsyth 17; Orange 16; New Hanover 15; Buncombe 15; Iredell 13; Rowan 12; Harnett 11; Brunswick 11; Gaston 11; Johnston 9; Catawba 9; Chatham 9; Cumberland 8; Pitt 8; Wilson 7; Henderson 6; Randolph 6; Carteret 5; Franklin 5; Alamance 4; Watauga 4; Nash 4; Cherokee 4; Onslow 4; Davidson 4; Lenoir 3; Bertie 3; Caldwell 3; Moore 3; Hertford 3; Montgomery 3; Craven 3; Beaufort 3; Wayne 3; Northampton 3; Cleveland 2; Dare 2; Hoke 2; Burke 2; Robeson 2; Lee 2; McDowell 2; Vance 2; Transylvania 2; Davie 2; Mitchell 1; Jackson 1; Sampson 1; Duplin 1; Hyde 1; Granville 1; Stanley 1; Lincoln 1; Polk 1; Pasquotank 1; Surry 1; Scotland 1; Person 1
Wisconsin,USA,728,10,0,718,2020-03-27 03:00:00 * CTY: Milwaukee 347; Dane 134; Waukesha 56; Washington 25; Ozaukee 22; Kenosha 19; Fond du Lac 17; La Crosse 12; Rock 8; Racine 8; Sheboygan 7; Sauk 7; Winnebago 6; Eau Claire 6; Jefferson 5; Columbia 5; Walworth 5; Outagamie 4; Brown 4; Douglas 4; St. Croix 4; Dodge 3; Iowa 3; Pierce 3; Grant 1; Monroe 1; Dunn 1; Wood 1; Green 1; Juneau 1; Bayfield 1; Vilas 1; Chippewa 1; Waupaca 1; Marathon 1; Calumet 1; Clark 1; Portage 1
Philippines,Philippines,707,45,28,634,3/26/20 16:00
Others,Japan (Diamond Princess),706,6,10,690,3/3/20 3:00
India,India,694,17,48,629,2020-03-27 01:00:00 * Maharashtra 124; Kerala 118; Karnataka 55; Telangana 44; Gujarat 43; Rajasthan 41; Uttar Pradesh 41; Delhi 36; Punjab 33; Haryana 30; Tamil Nadu 26; Madhya Pradesh 20; Ladakh 13; Jammu and Kashmir 13; Andhra Pradesh 11; West Bengal 10; Chandigarh 7; Chhattisgarh 6; Bihar 6; Uttarakhand 5; Himachal Pradesh 3; Goa 3; Odisha 2; Puducherry 1; Manipur 1; Mizoram 1; Andaman and Nicobar Islands
Singapore,Singapore,683,2,172,509,3/26/20 16:00
Panama,Panama,674,9,2,663,3/27/20 1:00
